CharId,Character,Character Class,Captain Character,Ball Dash,Body Check,Clamber,Laser Beam,Magical Catch,Quick Throw,Sliding Catch,Suction,Super Catch,Super Jump,Tongue Catch,Wall Jump,Weight,Curve Ball Speed,Fast Ball Speed,Curve,Cursed Ball,Curve Control,Fielding Arm,Throwing Power,Speed,Batting Stance,Slap Hit Power,Charge Hit Power,Bunting,Horizontal Hit Trajectory,Vertical Hit Trajectory,Slap Contact Size Multiplier,Charge Contact Size Multiplier,CSS Sort,Char Id Sort,Horizontal Range Near,Horizontal Range Far,Trimmed Bat,Pitching Height,Super Curve,Wall Splat,Captain Star Pitch,Non-Captain Star Pitch,Captain Star Hit,Non-Captain Star Hit
41,Paragoomba,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,115,154,50,50,50,0,60,70,0,45,30,80,0,2,70,30,43,42,-0.55,0.55,0,1.0,0,0,0,1,0,2
42,Koopa(R),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,165,50,50,50,0,50,30,1,40,60,30,0,0,30,15,25,43,-0.5,0.55,0,1.0,0,0,0,2,0,1
43,Paratroopa(G),3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,115,155,60,50,50,0,60,60,1,40,30,20,0,2,60,35,30,44,-0.55,0.65,0,1.0,0,0,0,1,0,3
44,Shy Guy(B),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,160,50,50,50,1,40,50,1,42,50,25,0,0,50,30,19,45,-0.55,0.65,0,1.0,0,0,0,3,0,2
45,Shy Guy(Y),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,130,165,55,50,50,1,40,40,1,42,50,25,0,0,50,30,20,46,-0.55,0.65,0,1.0,0,0,0,1,0,2
46,Shy Guy(G),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,125,160,60,50,60,1,40,40,1,42,50,25,0,0,50,30,21,47,-0.55,0.65,0,1.0,0,0,0,3,0,2
47,Shy Guy(Bk),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,160,50,50,50,1,50,40,1,42,50,25,0,0,50,30,22,48,-0.55,0.65,0,1.0,0,0,0,2,0,1
48,Dry Bones(Gy),3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,150,50,90,50,1,50,40,1,40,55,30,0,0,65,25,35,49,-0.75,0.55,0,1.0,0,1,0,1,0,2
49,Dry Bones(G),3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,150,50,90,50,1,50,30,1,40,55,30,0,0,70,25,36,50,-0.75,0.55,0,1.0,0,1,0,1,0,3
50,Dry Bones(R),3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,125,155,50,90,50,1,50,30,1,44,60,30,0,0,65,25,37,51,-0.75,0.55,0,1.0,0,1,0,2,0,1
51,Dry Bones(B),3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120,150,50,90,50,1,60,30,1,40,55,30,0,0,65,25,38,52,-0.75,0.55,0,1.0,0,1,0,3,0,2
52,Bro(F),1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,125,165,40,50,50,0,60,20,0,5,90,15,1,2,30,20,53,53,-0.65,0.65,1,1.0,0,1,0,2,0,2
53,Bro(B),1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,125,165,40,50,50,0,60,30,0,20,80,15,0,0,30,20,54,54,-0.65,0.65,1,1.0,1,1,0,1,0,3
